"","source","target","ligand.complex","receptor.complex","aggregate_rank","mean_rank","natmi.edge_specificity","natmi.rank","connectome.weight_sc","connectome.rank","logfc.logfc_comb","logfc.rank","sca.LRscore","sca.rank","cellphonedb.pvalue","cellphonedb.rank"
"1","Myelocytes","Non-classical monocytes","S100A8","CD68",2.5964207165647e-09,5295.9,0.0799797949333587,154,3.15824789154403,241,3.86781973017236,3,0.984777474571736,79,0,26002.5
"2","Myelocytes","Non-classical monocytes","S100A9","CD68",3.46276356023287e-09,5316.5,0.0712779030312001,197,3.09407121717258,259,3.71724255331296,4,0.98441593002193,120,0,26002.5
"3","Classical Monocytes","Non-classical monocytes","S100A9","CD68",4.14997545695205e-09,5332.7,0.0674029123686979,220,3.00332635256356,271,3.93481802520501,1,0.983981301452875,169,0,26002.5
"4","Classical Monocytes","Non-classical monocytes","S100A8","CD68",4.27375592616163e-09,5327.1,0.0722205599469908,191,2.99079383715779,273,3.88021940815141,2,0.983993348762445,167,0,26002.5
"5","Classical Monocytes","Plasma cells","CXCL8","SDC1",1.54293870038638e-08,7576.3,0.262149644408052,9,4.57614584202438,51,3.12527826797954,48,0.956647374811514,11771,0,26002.5
"6","Megakaryocyte progenitors","Erythro-myeloid progenitors","PPBP","ADRA2A",4.33964497966245e-08,10911.5,0.291013208959172,8,4.48423861699323,56,3.02527986710705,72,0.917406825221597,28419,0,26002.5
"7","Megakaryocyte progenitors","Megakaryocyte progenitors","PPBP","ADRA2A",4.90472408477244e-08,11816.5,0.222718436608866,16,4.08149894776023,75,3.04716237960039,68,0.906691734533525,32921,0,26002.5
"8","Megakaryocyte progenitors","Plasmacytoid dendritic cells","PF4","CXCR3",5.51681825266068e-08,7975.9,0.205607434287816,22,4.12549110346609,73,2.99789911486393,78,0.952449993458334,13704,0,26002.5
"9","Myelocytes","Plasmacytoid dendritic cells","S100A8","CD68",1.44515479525231e-07,5478.7,0.0510462023838972,349,2.51685395866626,355,3.42149927980284,28,0.981018341600498,659,0,26002.5
"10","Megakaryocyte progenitors","Classical Monocytes","PF4","LRP1",1.90855724185372e-07,9444.3,0.207986488561583,21,3.68239442211774,118,2.81850733448784,117,0.935052298309212,20963,0,26002.5
"11","Myelocytes","Plasmacytoid dendritic cells","S100A9","CD68",2.64882349834852e-07,5524.5,0.0454923179868378,433,2.4526772842948,384,3.27092210294344,36,0.980569276904912,767,0,26002.5
"12","CD8+ effector memory T cells","Plasma cells","CCL5","SDC1",3.32442637452062e-07,6665.7,0.120450326257613,66,4.48029690138901,57,2.71084105684788,142,0.965872207838617,7061,0,26002.5
"13","NK resident","Others","SPON2","ITGB2",3.9210915195372e-07,6238.5,0.0214806452140082,1397,2.07158248893061,735,2.51571119598433,197,0.97439206510278,2861,0,26002.5
"14","Megakaryocyte progenitors","Non-classical monocytes","PF4","LRP1",4.07658014906786e-07,10224.3,0.15744952515327,35,3.53035359063151,140,2.66721259993817,152,0.926070334473091,24792,0,26002.5
"15","NK resident","NK exhausted","SPON2","ITGB2",4.85586614810903e-07,6283.5,0.021035377590691,1446,2.04953258055748,788,2.51653631761731,195,0.974129430573107,2986,0,26002.5
"16","Megakaryocyte progenitors","Megakaryocyte progenitors","PF4","ADRA2A",5.02612070858702e-07,11938.5,0.240115843751123,14,4.41779512691811,59,2.63390872907312,163,0.905353874816028,33454,0,26002.5
"17","Classical Monocytes","Plasmacytoid dendritic cells","S100A8","CD68",5.0367237579982e-07,5556.3,0.0460939581353544,416,2.34939990428002,438,3.43389895778189,24,0.980044503350906,901,0,26002.5
"18","Megakaryocyte progenitors","Myelocytes","PF4","LRP1",5.21320302163517e-07,11070.5,0.119735484447395,67,3.41689061777146,165,2.64502720355862,157,0.916132747410875,28961,0,26002.5
"19","Classical Monocytes","Plasmacytoid dendritic cells","S100A9","CD68",5.21755821219608e-07,5566.9,0.0430191488850839,475,2.36193241968579,430,3.48849757483549,18,0.980029544285834,909,0,26002.5
"20","Megakaryocyte progenitors","Erythro-myeloid progenitors","PF4","ADRA2A",5.80215395219792e-07,11028.3,0.31374538756605,5,4.8205347961511,24,2.61202621657978,171,0.916208401142531,28939,0,26002.5
"21","NK resident","Conventional dendritic cell 2","B2M","CD1C",6.63112407877667e-07,6779.3,0.0202286952317509,1545,2.33506729842784,453,1.34284097130282,3178,0.974738172493605,2718,0,26002.5
"22","Megakaryocyte progenitors","Conventional dendritic cell 2","PF4","LRP1",6.99390846106295e-07,11294.9,0.112179827733709,77,3.39415936817318,171,2.57602572558114,182,0.913594472558744,30042,0,26002.5
"23","Megakaryocyte progenitors","Late erythroid progenitor","PF4","ACKR1",7.10968566014867e-07,11956.3,0.357432269535503,3,3.43982741549987,158,2.57467088588908,183,0.905399363420248,33435,0,26002.5
"24","Myelocytes","Others","S100A8","ITGB2",7.12986993479035e-07,5501.7,0.0265569398323307,983,2.26741419859472,492,3.58200372805986,11,0.985754688653095,20,0,26002.5
"25","Myelocytes","NK exhausted","S100A8","ITGB2",8.03832729547675e-07,5513.1,0.0260064468017951,1013,2.24536429022159,510,3.58282884969284,10,0.98560686760777,30,0,26002.5
"26","CD8+ central memory T cells","Plasma cells","CCL5","SDC1",8.46851327627021e-07,6749.5,0.115630929997129,72,4.42639104684588,58,2.52184294974019,194,0.965192762142315,7421,0,26002.5
"27","Myelocytes","Classical Monocytes","S100A8","CD68",9.7050506967872e-07,5597.5,0.0434207040756833,461,2.3478134794483,442,3.46842907782654,20,0.979451818580595,1062,0,26002.5
"28","NK resident","NK resident","SPON2","ITGB2",1.0759156972967e-06,6471.3,0.0191670409920334,1681,1.95701147941913,947,2.43305360438157,225,0.972931195699348,3501,0,26002.5
"29","Conventional dendritic cell 1","Plasma cells","TNFSF13","TNFRSF17",1.10048358946001e-06,10533.3,0.0831735268598606,145,3.73623468399202,104,1.80247276364531,970,0.924588032427515,25445,0,26002.5
"30","Conventional dendritic cell 1","Plasma cells","TNFSF13B","TNFRSF17",1.14107782718598e-06,9481.9,0.0445323856097441,450,3.60443294695556,129,1.82406902285311,914,0.937764452183847,19914,0,26002.5
"31","NK resident","Non-classical monocytes","HLA-B","LILRB2",1.20795771188769e-06,6562.1,0.015754945443792,2322,2.07970031923042,722,1.60590649616306,1592,0.976005100343814,2172,0,26002.5
"32","NK resident","Non-classical monocytes","HLA-A","LILRB2",1.21640966401036e-06,6640.9,0.0169589498235873,2038,2.09046690001025,701,1.58299638882246,1683,0.974585030503287,2780,0,26002.5
"33","NK resident","Non-classical monocytes","HLA-C","LILRB2",1.22661438585448e-06,6570.3,0.0171599850713111,1995,2.10317582763294,676,1.62433153228582,1511,0.974866077212262,2667,0,26002.5
"34","NK resident","Non-classical monocytes","B2M","LILRB2",1.24032709899055e-06,6396.1,0.0139636596396699,2808,2.07640576668428,728,1.5825402215963,1687,0.98060927921672,755,0,26002.5
"35","Classical Monocytes","Others","S100A8","ITGB2",1.44269487234427e-06,5584.7,0.0239805199146554,1173,2.09996014420848,682,3.59440340603891,9,0.985020134309478,57,0,26002.5
"36","Myelocytes","Classical Monocytes","S100A9","CD68",1.55883408231032e-06,5653.7,0.0386964824957574,557,2.28363680507684,482,3.31785190096713,31,0.978966487957949,1196,0,26002.5
"37","Myelocytes","NK resident","S100A8","ITGB2",1.55883408231032e-06,5575.1,0.0236965858947896,1196,2.15284318908324,600,3.49934613645711,16,0.984932004933219,61,0,26002.5
"38","Myelocytes","Others","S100A9","ITGB2",1.56925354179786e-06,5562.5,0.0236675148236066,1198,2.20323752422326,547,3.43142655120046,26,0.985416009833487,39,0,26002.5
"39","Classical Monocytes","NK exhausted","S100A8","ITGB2",1.6221347794631e-06,5602.3,0.0234834329323079,1208,2.07791023583535,725,3.59522852767189,8,0.984864807957977,68,0,26002.5
"40","Myelocytes","Classical Monocytes","S100A8","CD36",1.6382560346849e-06,5641.1,0.0511422342585406,345,2.1605983684247,590,3.08959037349673,57,0.978900580974881,1211,0,26002.5
"41","NK exhausted","Plasma cells","CCL5","SDC1",1.64222544700001e-06,6975.1,0.103038352872424,98,4.28554070084436,62,2.40847480331914,242,0.963203124555079,8471,0,26002.5
"42","Myelocytes","Plasma cells","CXCL8","SDC1",1.66263472280866e-06,8527.5,0.171029816815503,28,4.10860615153549,74,2.40133517631972,243,0.946875469643905,16290,0,26002.5
"43","Myelocytes","NK exhausted","S100A9","ITGB2",1.76586920552127e-06,5575.5,0.0231769160557233,1234,2.18118761585013,570,3.43225167283344,25,0.985264726912838,46,0,26002.5
"44","Myelocytes","Mature naive B cells","S100A8","CD69",1.77730697305935e-06,5594.1,0.0231605027452014,1236,2.0879732839686,708,3.442446744275,23,0.98624044284355,1,0,26002.5
"45","Megakaryocyte progenitors","Late erythroid progenitor","PPBP","ACKR1",1.98933224301654e-06,11848.5,0.331534791794153,4,3.103531236342,258,2.98792453641635,82,0.906736646376028,32896,0,26002.5
"46","GammaDelta T cells","Plasma cells","CCL5","SDC1",2.01251367770205e-06,6882.1,0.108464766121979,83,4.34623615469611,60,2.37230586149075,259,0.964101928094181,8006,0,26002.5
"47","Classical Monocytes","Plasma cells","TNFSF13B","TNFRSF17",2.17983623833468e-06,8234.9,0.0722895742248148,189,3.95352232410888,83,2.3600928322842,266,0.950490051622125,14634,0,26002.5
"48","Plasmacytoid dendritic cells","Mature naive B cells","APP","CD74",2.22928722946652e-06,5980.5,0.012745391651471,3277,3.02773897691732,267,2.93935876386237,88,0.9831903564159,268,0,26002.5
"49","Classical Monocytes","Others","S100A9","ITGB2",2.24093004935976e-06,5607.5,0.0223808411835871,1310,2.11249265961425,661,3.64900202309251,6,0.985008848030182,58,0,26002.5
"50","NK resident","Non-classical monocytes","SPON2","ITGB2",2.32121083752978e-06,6707.1,0.0174916168790234,1931,1.8740435153377,1129,2.16526349827944,390,0.971700299594941,4083,0,26002.5
"51","Classical Monocytes","Small pre-B cell","HBEGF","CD9",2.38210771693518e-06,8256.7,0.0597477044508362,274,3.63587242222034,126,2.47143427323414,213,0.950426359840172,14668,0,26002.5
"52","Classical Monocytes","NK exhausted","S100A9","ITGB2",2.51888736108071e-06,5625.9,0.0219169135937792,1349,2.09044275124112,702,3.64982714472549,5,0.984853406450683,71,0,26002.5
"53","Myelocytes","Classical Monocytes","S100A9","CD36",2.54128690644096e-06,5711.7,0.0455779014852007,427,2.09642169405325,688,2.93901319663732,89,0.978402517680762,1352,0,26002.5
"54","Classical Monocytes","Classical Monocytes","S100A8","CD68",2.55630250407036e-06,5698.7,0.0392082470860462,546,2.18035942506206,572,3.48082875580559,19,0.978399380779954,1354,0,26002.5
"55","Classical Monocytes","Classical Monocytes","S100A9","CD68",2.57895023476175e-06,5710.9,0.0365927658884226,624,2.19289194046782,557,3.53542737285918,14,0.97838321569702,1357,0,26002.5
"56","NK resident","Plasma cells","CCL5","SDC1",2.70834459777397e-06,7222.3,0.0912548752426724,122,4.15374028502673,71,2.31265679371067,286,0.96098936173749,9630,0,26002.5
"57","Myelocytes","Non-classical monocytes","S100A8","ITGB2",2.725891229926e-06,5660.3,0.0216252264491327,1376,2.06987522500181,740,3.23155603035498,42,0.984237979194629,141,0,26002.5
"58","Classical Monocytes","NK resident","S100A8","ITGB2",2.99588067577312e-06,5694.1,0.0213976630420175,1409,1.98538913469699,893,3.51174581443616,15,0.984155711050112,151,0,26002.5
"59","Others","Plasma cells","CCL5","SDC1",3.03235421753569e-06,7151.3,0.094616193594981,109,4.19133726364797,68,2.29507135060248,297,0.961661764013909,9280,0,26002.5
"60","Conventional dendritic cell 2","Small pre-B cell","HBEGF","CD9",3.03235421753569e-06,8396.3,0.0564909255317528,297,3.60056358309678,132,2.30807679164481,288,0.949089120552925,15262,0,26002.5
"61","Myelocytes","NK resident","S100A9","ITGB2",3.24923024615267e-06,5656.1,0.0211183706208134,1438,2.08866651471178,707,3.3487689595977,30,0.984574073085361,103,0,26002.5
"62","Classical Monocytes","Mature naive B cells","CXCL8","CD79A",3.33101798398641e-06,5669.7,0.0417121468350533,497,2.4526359932335,385,3.49086558534064,17,0.97811379555381,1447,0,26002.5
"63","Myelocytes","Plasma cells","TNFSF13B","TNFRSF17",3.34841377868683e-06,8442.3,0.0662643802265276,224,3.87774623420084,92,2.27744808549686,307,0.948401746014443,15586,0,26002.5
"64","Classical Monocytes","Mature naive B cells","S100A8","CD69",3.43306083871613e-06,5707.5,0.0209135879668855,1458,1.92051922958236,1022,3.45484642225405,21,0.98553056857559,34,0,26002.5
"65","CD8+ effector memory T cells","Conventional dendritic cell 2","B2M","CD1C",3.49008754649577e-06,6696.1,0.0203866082813384,1528,2.34935924475746,440,1.38680307756613,2828,0.974833733742631,2682,0,26002.5
"66","Plasmacytoid dendritic cells","Nonswitched memory B cells","APP","CD74",3.61648258572709e-06,6041.5,0.0122464264620428,3481,2.97097276063185,274,2.75786952334588,135,0.98285714322865,315,0,26002.5
"67","Myelocytes","Nonswitched memory B cells","S100A8","CD69",3.62456239849834e-06,5686.7,0.0207453857770578,1478,1.98988857540542,881,3.29862082051997,34,0.985472878828631,38,0,26002.5
"68","Classical Monocytes","Erythro-myeloid progenitors","CXCL8","ADRA2A",3.79106604976258e-06,10260.5,0.137677582535103,47,2.88961605402303,283,2.25783135051643,320,0.926426261386783,24650,0,26002.5
"69","Immature B cells","Non-classical monocytes","CD24","SIGLEC10",3.8624396812365e-06,7586.5,0.106923826595397,86,3.83035329184857,96,2.25476668755209,322,0.957377578396701,11426,0,26002.5
"70","Late promyelocytes","Plasma cells","TNFSF13B","TNFRSF17",4.08191222491483e-06,8380.1,0.0681618364962628,217,3.90160966779865,90,2.24804028216862,328,0.949088176454181,15263,0,26002.5
"71","Plasmacytoid dendritic cells","Plasmacytoid dendritic cells","APP","CD74",4.23274140941121e-06,6071.3,0.0120852850010089,3571,2.95264003677972,275,2.59430593485503,176,0.982745198401467,332,0,26002.5
"72","Classical Monocytes","Classical Monocytes","S100A8","CD36",4.36949469932874e-06,5779.1,0.0461806734834656,415,1.99314431403846,875,3.10199005147578,54,0.977820549195166,1549,0,26002.5
"73","CD8+ effector memory T cells","CD8+ central memory T cells","HLA-C","CD8A",4.41378432806867e-06,7876.7,0.0121173793525811,3554,1.25387724282465,4643,1.54754709676798,1844,0.973318812289692,3340,0,26002.5
"74","Classical Monocytes","Classical Monocytes","S100A9","CD36",4.43730239320232e-06,5785.5,0.0431000796756241,472,2.00567682944423,853,3.15658866852937,45,0.977803960763714,1555,0,26002.5
"75","Plasmacytoid dendritic cells","Conventional dendritic cell 2","APP","CD74",4.54542968359118e-06,6080.3,0.0120069278314075,3624,2.94372550700621,276,2.64211354945299,159,0.982689960584068,340,0,26002.5
"76","Classical Monocytes","NK resident","S100A9","ITGB2",4.57527546109821e-06,5719.7,0.0199702800417865,1567,1.99792165010276,862,3.56634443148975,12,0.984143783972374,155,0,26002.5
"77","Pre-B cells","Plasma cells","HMGB1","SDC1",4.70737581552096e-06,6531.9,0.0512247576417458,344,4.49572098488832,54,2.46535479228455,217,0.967774822250957,6042,0,26002.5
"78","Conventional dendritic cell 1","Plasmacytoid dendritic cells","HLA-DRA","CD4",4.80228138665782e-06,7394.3,0.0128478795948561,3217,1.63385457818684,1997,1.77644835557554,1033,0.970348798936873,4722,0,26002.5
"79","NK resident","CD8+ central memory T cells","HLA-C","CD8A",4.87904263993688e-06,7939.9,0.012022705177957,3614,1.24406263202864,4737,1.52826269742773,1955,0.973216774365053,3391,0,26002.5
"80","CD8+ effector memory T cells","Non-classical monocytes","HLA-B","LILRB2",5.0885482440915e-06,6537.3,0.0158055648038717,2306,2.08389713146095,715,1.6256945512172,1505,0.976042633276559,2158,0,26002.5
"81","CD8+ effector memory T cells","Non-classical monocytes","HLA-A","LILRB2",5.12058517268717e-06,6784.7,0.016417368507488,2163,2.05105398666584,787,1.51675792778331,2003,0.974179969185622,2968,0,26002.5
"82","CD8+ effector memory T cells","Non-classical monocytes","HLA-B","LILRA1",5.14203261981232e-06,7276.7,0.0189732946686021,1712,1.92037757684475,1023,1.3815716250967,2859,0.970225567059617,4787,0,26002.5
"83","CD8+ effector memory T cells","Non-classical monocytes","HLA-C","LILRB2",5.14740569418107e-06,6539.9,0.0172951133472807,1973,2.11299043842894,659,1.64361593162606,1432,0.974961993327756,2633,0,26002.5
"84","CD8+ effector memory T cells","Non-classical monocytes","B2M","LILRB2",5.19055218941877e-06,6340.9,0.0140726653887723,2768,2.0906977130139,700,1.62650232785962,1502,0.980683071191705,732,0,26002.5
"85","NK resident","Non-classical monocytes","HLA-B","LILRA1",5.2777131645993e-06,7315.3,0.018912530245018,1718,1.91618076461421,1032,1.36178357004256,3012,0.970179199227571,4812,0,26002.5
"86","NK resident","NK exhausted","HLA-E","KLRC1_KLRD1",5.34939020760633e-06,7638.3,0.0101068747285622,4825,1.45498281949269,3033,1.70851111136314,1210,0.973809893714974,3121,0,26002.5
"87","Classical Monocytes","Non-classical monocytes","S100A8","ITGB2",5.36608183681693e-06,5793.9,0.0195272564081736,1631,1.90242117061557,1067,3.24395570833403,38,0.983426531193448,231,0,26002.5
"88","NK resident","CD8+ central memory T cells","HLA-A","CD8A",5.41064637928898e-06,8046.3,0.011881854967207,3702,1.23135370440595,4836,1.48692755396437,2180,0.972917797544448,3511,0,26002.5
"89","Classical Monocytes","Megakaryocyte progenitors","CXCL8","ADRA2A",5.6670391145713e-06,11092.1,0.105367505646825,92,2.48687638479004,366,2.27971386300977,304,0.916775141992187,28696,0,26002.5
"90","NK resident","Others","HLA-E","KLRC1_KLRD1",5.70786478080651e-06,7678.9,0.010039463730995,4888,1.45230894400377,3059,1.68340786379091,1280,0.973724419254953,3165,0,26002.5
"91","Plasma cells","Nonswitched memory B cells","IGHG1_IGLC1","FCGR2B",5.71350330143489e-06,9300.7,0.0498494822637455,367,2.59846848042445,337,3.541565219235,13,0.93808777829967,19784,0,26002.5
"92","CD8+ effector memory T cells","CD8+ central memory T cells","HLA-B","CD8A",5.74885256212549e-06,7964.1,0.0110737652170652,4155,1.22478393585665,4895,1.52962571635911,1944,0.974468514719977,2824,0,26002.5
"93","Myelocytes","Non-classical monocytes","S100A9","ITGB2",5.90962276189135e-06,5753.3,0.0192723774192389,1671,2.00569855063036,852,3.08097885349557,59,0.983863831244905,182,0,26002.5
"94","NK resident","CD8+ central memory T cells","HLA-B","CD8A",5.95733861858981e-06,7996.9,0.0110383000555277,4173,1.22058712362612,4930,1.50983766130497,2033,0.974428580295815,2846,0,26002.5
"95","Conventional dendritic cell 1","Plasma cells","HMGB1","SDC1",6.09482663387427e-06,7617.7,0.0344776889326052,690,3.93699206911819,85,1.58295806091262,1684,0.960995627398504,9627,0,26002.5
"96","NK resident","NK exhausted","HLA-E","KLRC2_KLRD1",6.09760559432706e-06,7936.5,0.00995007828013523,4953,1.34366826022347,3872,1.64678557114458,1417,0.973098542812089,3438,0,26002.5
"97","Plasmacytoid dendritic cells","Class switched memory B cells","APP","CD74",6.29097478073296e-06,6126.7,0.0117149686150288,3786,2.91050992328486,279,2.55766358959037,187,0.982479344451918,379,0,26002.5
"98","CD4+ memory T cells","Small pre-B cell","CD40LG","CD9",6.44116474642492e-06,9412.9,0.0491184443741558,382,3.2970759389216,201,2.20503404814265,362,0.937235012035433,20117,0,26002.5
"99","NK resident","CD8+ central memory T cells","HLA-E","CD8A",6.45663623842715e-06,8272.3,0.0131688613042951,3102,1.21127062786929,5010,1.4744610626963,2263,0.969828560971401,4984,0,26002.5
"100","Classical Monocytes","Conventional dendritic cell 1","S100A8","ITGB2",6.50186870123269e-06,6430.7,0.013281708868262,3066,1.62537961473995,2035,2.77891633882036,128,0.979974656461534,922,0,26002.5
"101","Classical Monocytes","Conventional dendritic cell 1","S100A9","ITGB2",6.52133147527198e-06,6486.3,0.0123957202715004,3419,1.63791213014572,1970,2.83351495587395,113,0.979959646108399,927,0,26002.5
"102","Classical Monocytes","Nonswitched memory B cells","S100A8","CD69",6.87935943599398e-06,5826.7,0.0187327734258862,1736,1.82243452101918,1276,3.31102049849902,32,0.984724018252653,87,0,26002.5
"103","HSCs & MPPs","Plasma cells","MDK","SDC1",6.88181115379443e-06,10716.7,0.177060157405218,26,4.79812237060637,28,1.66500816388272,1349,0.922862737111203,26178,0,26002.5
"104","Classical Monocytes","Nonswitched memory B cells","CXCL8","CD79A",6.89514970965901e-06,5756.3,0.0383959206127001,565,2.34041991227066,448,3.36479714099961,29,0.977209314191536,1737,0,26002.5
"105","Classical Monocytes","NK resident","CD14","ITGB2",6.93411425798805e-06,6474.1,0.0387431465910279,556,1.84867636682129,1189,2.33120612599494,279,0.97117235215217,4344,0,26002.5
"106","Classical Monocytes","NK resident","S100A8","CD69",7.282004256942e-06,6664.1,0.0117395223739149,3762,1.50790479900649,2708,2.76287597816748,133,0.980780492902749,715,0,26002.5
"107","Myelocytes","Small pre-B cell","HBEGF","CD9",7.33745892068185e-06,8817.7,0.0471402934865102,399,3.49918735499164,150,2.37314783340891,257,0.944535501054,17280,0,26002.5
"108","NK resident","NK resident","HLA-E","KLRC1_KLRD1",7.62898021664908e-06,7836.3,0.00961974579689259,5180,1.41493659478339,3320,1.68492539149449,1273,0.973172539296448,3406,0,26002.5
"109","Classical Monocytes","CD8+ effector memory T cells","S100A8","ITGB2",7.65848126501672e-06,6134.3,0.0154055707494306,2409,1.71959040991263,1625,3.1824202284064,43,0.981379548140416,592,0,26002.5
"110","Classical Monocytes","CD8+ effector memory T cells","S100A9","ITGB2",7.66587076780994e-06,6178.5,0.0143779047957508,2682,1.7321229253184,1569,3.23701884546,41,0.981365570824683,598,0,26002.5
"111","CD8+ effector memory T cells","CD8+ central memory T cells","HLA-A","CD8A",7.68807350665172e-06,8278.9,0.0115024098531062,3894,1.19194079106154,5188,1.42068909292522,2602,0.972486914177799,3708,0,26002.5
"112","Classical Monocytes","Conventional dendritic cell 1","VCAN","CD44",7.7923675523401e-06,7420.1,0.0167101358195043,2091,1.49009225113028,2815,1.795469854859,990,0.969385034293565,5202,0,26002.5
"113","HSCs & MPPs","Plasmacytoid dendritic cells","BST2","LILRA4",7.9594530804674e-06,6499.3,0.0464046478800606,410,5.33901665876017,6,2.16149717715119,392,0.968479896838906,5686,0,26002.5
"114","NK resident","NK exhausted","HLA-E","KLRC3_KLRD1",8.02733455925762e-06,8099.5,0.00955240575647043,5233,1.30129050061521,4250,1.60517995767483,1596,0.973147799480607,3416,0,26002.5
"115","Classical Monocytes","Non-classical monocytes","S100A9","ITGB2",8.19468297018884e-06,5824.3,0.0182246434179864,1814,1.91495368602134,1035,3.29855432538762,35,0.983414064462909,235,0,26002.5
"116","Myelocytes","Conventional dendritic cell 2","S100A8","ITGB2",8.21267898678634e-06,5840.7,0.0182202793614771,1815,1.93349062586327,1001,3.0462531355309,69,0.98285241740186,316,0,26002.5
"117","Classical Monocytes","Classical Monocytes","S100A8","ITGB2",8.32305512484053e-06,6308.5,0.0139939919256173,2801,1.65697524429405,1896,3.1010441122498,55,0.980480871425422,788,0,26002.5
"118","NK resident","Conventional dendritic cell 2","SPON2","ITGB2",8.34676751722799e-06,7207.9,0.0147375171663239,2593,1.73765891619916,1548,1.97996060345536,622,0.969247048408875,5274,0,26002.5
"119","Classical Monocytes","Classical Monocytes","S100A9","ITGB2",8.35468364670154e-06,6363.5,0.0130604887603056,3136,1.66950775969982,1838,3.15564272930339,46,0.980466232951335,795,0,26002.5
"120","Classical Monocytes","Classical Monocytes","VCAN","CD44",8.43417578205322e-06,6290.3,0.0250297899583791,1083,1.76706409176083,1450,2.41009006311205,241,0.974844429654517,2675,0,26002.5
"121","Classical Monocytes","Classical Monocytes","S100A12","CD36",8.51427184300288e-06,6418.9,0.075132845883356,172,1.9675403602064,922,2.64289932513319,158,0.970116297925666,4840,0,26002.5
"122","Classical Monocytes","Others","CD14","ITGB2",8.89058994070566e-06,6246.1,0.0434197321716006,462,1.96324737633277,934,2.41386371759769,238,0.972725483137418,3594,0,26002.5
"123","Plasmacytoid dendritic cells","Immature B cells","APP","CD74",9.05121609478286e-06,6190.7,0.0113293332996691,4011,2.86663700753274,285,2.43178581103511,227,0.982188916487773,428,0,26002.5
"124","Classical Monocytes","Others","LYZ","ITGAL",9.27148788894447e-06,7163.5,0.0147172774138858,2596,1.65368572018364,1907,2.75954189070862,134,0.969434588379829,5178,0,26002.5
"125","CD8+ effector memory T cells","NK exhausted","HLA-E","KLRC1_KLRD1",9.57667449691853e-06,8074.1,0.00930888949144073,5421,1.37158823622327,3663,1.58060561087993,1698,0.972740396521789,3586,0,26002.5
"126","Conventional dendritic cell 1","Plasmacytoid dendritic cells","BST2","LILRA4",9.5879932974755e-06,8339.1,0.0212607668711332,1427,4.90498187663662,20,1.67899345761178,1298,0.954123236615473,12948,0,26002.5
"127","Early promyelocytes","Plasma cells","TNFSF13B","TNFRSF17",9.83172271040941e-06,8329.9,0.0703790709993947,202,3.92949480495843,86,2.10846051737685,440,0.949856026107426,14919,0,26002.5
"128","Classical Monocytes","CD4+ memory T cells","VCAN","CD44",9.8536453177624e-06,7315.9,0.0169251373698391,2047,1.49724992549278,2770,1.96363039776038,651,0.969574172839851,5109,0,26002.5
"129","CD8+ effector memory T cells","Non-classical monocytes","HLA-C","LILRA1",9.98081088574847e-06,7332.1,0.0207613765111671,1474,1.94947088381274,971,1.39949300550556,2747,0.968890900965089,5466,0,26002.5
"130","Classical Monocytes","CD4+ memory T cells","S100A8","CD69",9.99908406079749e-06,6231.7,0.0143838092897634,2680,1.62683472478531,2026,2.90420221902843,97,0.982604479751638,353,0,26002.5
"131","CD8+ effector memory T cells","Others","HLA-E","KLRC1_KLRD1",1.00540642291019e-05,8119.3,0.0092468009087964,5474,1.36891436073434,3688,1.5555023633077,1807,0.972651529658375,3625,0,26002.5
"132","Megakaryocyte progenitors","Conventional dendritic cell 2","PF4","LDLR",1.01697030906666e-05,12419.1,0.0447434533721607,445,3.26686949535869,208,2.50693436369858,200,0.900995762819869,35240,0,26002.5
"133","Classical Monocytes","CD8+ naive T cells","S100A8","CD69",1.05026695542403e-05,6919.5,0.0106238903213127,4431,1.45772793037048,3023,2.59870809948139,175,0.979816403439984,966,0,26002.5
"134","Myelocytes","Immature B cells","S100A8","CD69",1.05306964652397e-05,5860.5,0.017490512752579,1932,1.85769900602753,1169,3.112388251324,53,0.984199260835524,146,0,26002.5
"135","NK resident","Non-classical monocytes","HLA-C","LILRA1",1.05694074356381e-05,7377.1,0.0205991660093694,1500,1.93965627301673,990,1.38020860616532,2864,0.968772472501197,5529,0,26002.5
"136","Classical Monocytes","NK exhausted","CD14","ITGB2",1.06653353544853e-05,6284.7,0.0425196939857593,481,1.94119746795964,985,2.41468883923068,237,0.972446239510596,3718,0,26002.5
"137","Myelocytes","CD8+ central memory T cells","S100A8","CD69",1.0705277093233e-05,5868.3,0.017441665689334,1940,1.85571518908378,1176,3.01875298254903,74,0.984177500399717,149,0,26002.5
"138","CD8+ effector memory T cells","NK exhausted","HLA-E","KLRC2_KLRD1",1.08886142560069e-05,8414.9,0.0091644728591724,5562,1.26027367695404,4583,1.51888007066138,1993,0.972000832160349,3934,0,26002.5
"139","NK resident","NK resident","HLA-E","KLRC3_KLRD1",1.09180111456272e-05,8251.5,0.00916281322339291,5565,1.27962800974465,4427,1.60213838896292,1612,0.972598358946045,3651,0,26002.5
"140","CD8+ effector memory T cells","Non-classical monocytes","B2M","LILRB1",1.12355470957931e-05,8732.7,0.00912571795450925,5597,1.38073321742149,3583,1.19715853888614,4497,0.971909503154964,3984,0,26002.5
"141","Classical Monocytes","Conventional dendritic cell 1","VCAN","SELL",1.12757529845258e-05,7138.7,0.0217375349247978,1369,1.62831418249908,2021,1.92914954467981,700,0.968647828544721,5601,0,26002.5
